Pre-packaged Job Solutions ,Remote Testing , Adaptive/IRT,Test Type
Account Manager Solution,Yes,Yes,"C, P, A, B"
Administrative Professional - Short Form,Yes,Yes,"A, K, P"
Agency Manager Solution,Yes,Yes,"A, B, P, S"
Apprentice + 8.0 Job Focused Assessment,Yes,No,"B, P"
Apprentice 8.0 Job Focused Assessment,Yes,No,"B, P"
Bank Administrative Assistant - Short Form,Yes,No,"A, B, K, P"
Bank Collections Agent - Short Form,Yes,No,"A, B, P"
Bank Operations Supervisor - Short Form,Yes,Yes,"A, B, P, S"
Bilingual Spanish Reservation Agent Solution,Yes,Yes,"B, P, S, A"
"Bookkeeping, Accounting, Auditing Clerk Short Form",Yes,Yes,"P, S, K, B, A"
Branch Manager - Short Form,Yes,No,"A, B, P"
Cashier Solution,Yes,Yes,"B, A, P"
Claims/Operations Supervisor Solution                                                   ,Yes,Yes,"P, S, A, B"
Contact Center Customer Service + 8.0,Yes,No,"A, B, C, P, S"
Contact Center Customer Service 8.0,Yes,No,"S, B, C, P"
Contact Center Manager - Short Form,Yes,Yes,"A, B,P, S"
Contact Center Sales & Service + 8.0,Yes,No,"P,B, C, A, S"
Contact Center Sales & Service 8.0,Yes,No,"S, B, C, P"
Contact Center Team Lead/Coach - Short Form,Yes,Yes,"A, B, P, S"
Contact Centre Agent Solution - UK,Yes,No,"A, B, P, S"
Customer Service - Short Form,Yes,Yes,"A, B, P"
Customer Service - Short Form - UK,Yes,Yes,"A, B, P"
Customer Service with Sales - Short Form,Yes,Yes,"A, B, P"
Director - Short Form,Yes,Yes,"A, B, P"
District/Regional Manager Solution,Yes,Yes,"A, B, P"
Entry Level Cashier 7.1 (Americas),Yes,No,"B, P, A"
Entry Level Cashier 7.1 (International),Yes,No,"A, B, P"
Entry Level Customer Service 7.1 (Americas),Yes,No,"C, P"
Entry Level Customer Service 7.1 (International),Yes,No,"C, P"
Entry Level Customer Service 7.1 (South Africa),Yes,No,"C, P"
Entry level Sales 7.1 (Americas),Yes,No,"B, C, P"
Entry level Sales 7.1 (International),Yes,No,"P, B, C"
Entry Level Sales Sift Out 7.1,Yes,No,"C, P, B"
Event Sales Manager Solution,Yes,Yes,"S, A, B, P"
Executive - Short Form,Yes,Yes,"A, B, P"
Financial Professional - Short Form,Yes,No,"A, B, P"
Financial Services Representative Solution,Yes,No,"A, B, P"
Front Desk Associate Solution,Yes,Yes,"A, B, P"
Gaming Associate Solution,Yes,Yes,"A, B, P, S"
Gaming Manager Solution,Yes,Yes,"S, A, B, K, P"
General Entry Level - All Industries 7.0 Solution,Yes,No,B
General Entry Level - All Industries 7.1 Solution,Yes,No,B
General Entry Level - All Industries 7.1(Americas),Yes,No,B
General Entry Level ? Data Entry 7.0 Solution,Yes,No,"B, K"
Graduate + 8.0 Job Focused Assessment,Yes,No,"A, B, P"
Graduate 7.1 Job Focused Assessment,Yes,No,"B, C"
Graduate 8.0 Job Focused Assessment,Yes,No,"P, B"
Guest Service Team 7.0 Solution,Yes,No,B
Guest Services Associate Solution,Yes,Yes,"A, B, P, S"
Healthcare Aide 7.0 Solution,Yes,No,B
Healthcare Call Center Agent Solution,Yes,Yes,"A, B, P, S"
Healthcare Service Associate Solution,Yes,Yes,"A, B, P"
Healthcare Support Specialist Solution,Yes,Yes,"A, B, P"
Home Health Aide Solution,Yes,Yes,"A, B, P"
Hospitality Manager Solution,Yes,Yes,"A, B, K, P"
Host Solution,Yes,Yes,"B, P"
Industrial - Entry Level 7.0 Solution,Yes,No,B
Industrial - Entry Level 7.1 (Americas),Yes,No,B
Industrial - Entry Level 7.1 (International),Yes,No,B
Industrial - Professional and Skilled 7.0 Solution,Yes,Yes,"A, B"
Industrial - Semi-skilled 7.1 (Americas),Yes,No,B
Industrial - Semi-skilled 7.1 (International),Yes,No,B
Industrial Professional and Skilled 7.1 (Americas),Yes,No,"A, B"
Industrial Professional and Skilled 7.1 Solution,Yes,No,"A, B"
Installation and Repair Technician Solution,Yes,Yes,"A, B, P, S"
Insurance Account Manager Solution,Yes,Yes,"A, B, P, S"
Insurance Administrative Assistant Solution,Yes,Yes,"A, B, P, S"
Insurance Agent Solution,Yes,Yes,"A, B, P"
Insurance Director Solution,Yes,Yes,"A, B, P"
Insurance Sales Manager Solution,Yes,Yes,"A, B, P, S"
Manager - Short Form,Yes,Yes,"A, B, K, P, S"
Manager + 7.0 Solution,Yes,Yes,"A, B, C"
Manager + 7.1 (Americas),Yes,Yes,"B, C, P"
Manager + 7.1 (International),Yes,Yes,"B, C, P"
Manager 7.0 Solution,Yes,No,"B, C"
Manager 7.1 (Americas),Yes,No,"B, C, P"
Manager 7.1 (International),Yes,No,"B, C, P"
Manager 8.0 JFA,Yes,No,"B, K, P"
Manager 8.0+ JFA,Yes,No,"B, K, P"
Manufacturing Production Team Member,Yes,No,"A, B"
Manufacturing Skilled Maintenance Worker,Yes,No,"A, B"
Network Engineer/Analyst Solution,Yes,Yes,"P, S, K, B, A"
Nurse Leader Solution,Yes,Yes,"S, A, B, P"
Nurse Solution,Yes,Yes,"P, A, B"
Nursing Assistant Solution,Yes,No,"A, B, P"
Personal Banker - Short Form,Yes,No,"A, B, K , P, S"
Phone Banker - Short Form,Yes,No,"A, B, P"
Prep/Line Cook Solution,Yes,Yes,"A, B, P"
Professional + 7.0 Solution,Yes,Yes,"A, B, C"
Professional + 7.1 (Americas),Yes,Yes,"B, C, P"
Professional + 7.1 (International),Yes,Yes,"B, C, P"
Professional 7.0 Solution,Yes,No,"B, C"
Professional 7.1 (International),Yes,No,"C, B"
Professional 8.0 JFA,Yes,No,"B, K, P"
Professional/Individual Contributor - Short Form,Yes,Yes,"A, B, P, S"
Project Manager - Short Form,Yes,Yes,"A, B, P, S"
Proof Operator - Processing Specialist -Short Form,Yes,No,S
Reservation Agent Solution,Yes,Yes,"A, P, S, B"
Restaurant Manager Solution,Yes,Yes,"A, B, P, S"
Restaurant Supervisor Solution,Yes,Yes,"A, B, P"
Retail Consultant Solution,Yes,Yes,"A, B, P"
Retail Manager w/ Sales Solution,Yes,Yes,"A, B, P"
Retail Sales Associate Solution,Yes,Yes,"A, B, P"
Sales Director Solution,Yes,Yes,"A, B, P"
Sales Engineer Solution,Yes,Yes,"A, B, K, P, S"
Sales Manager Solution,Yes,Yes,"A, B, P"
Sales Professional 7.0 Solution,Yes,No,"C, B"
Sales Professional 7.1 (Americas),Yes,No,"B, C"
Sales Professional Solution,Yes,Yes,"A, B, P"
Sales Representative Solution,Yes,Yes,"A, B, P"
Sales Supervisor Solution,Yes,Yes,"A, B, P"
Sales Support Specialist Solution,Yes,Yes,"A, B, P"
Senior Insurance Agent Solution,Yes,No,"A, B, P"
Senior Sales Professional Solution,Yes,Yes,"A, B, P"
Server Solution,Yes,Yes,"B, A, P"
Service Associate Solution,Yes,Yes,"A, B, P"
Service Supervisor Solution,Yes,Yes,"A, B, P"
Stock Clerk Solution,Yes,No,"A, B, P"
Store Manager 7.0 Solution,Yes,No,"B, C"
Store Manager 7.1 (Americas),Yes,No,"B, C"
Store Manager 7.1 (International),Yes,No,"C, B"
Store Manager Solution,Yes,Yes,"A, B, P"
Supervisor - Short Form,Yes,Yes,S
Supervisor 7.0 Solution,Yes,No,"B, C"
Supervisor 7.1 (Americas),Yes,No,"B, C, P"
Supervisor 7.1 (International),Yes,No,"P, C, B"
Support Associate Solution,Yes,Yes,"A, B, P"
Support Supervisor Solution,Yes,Yes,"A, P, S, B"
Technical Sales Associate Solution,Yes,No,"A, B, P"
Technician/Technologist Solution,Yes,Yes,"A, B, P"
Technology Professional 8.0 Job Focused Assessment,Yes,No,"C, P"
Telenurse Solution,Yes,Yes,"A, B, P"
Teller 7.0,Yes,Yes,"B, K, P, S"
Teller with Sales - Short Form,Yes,No,"A, B, K, P, S"
Transcriptionist Solution,Yes,Yes,"A, B, K, P"
Workplace Safety - Individual 7.0 Solution,Yes,No,B
Workplace Safety - Individual 7.1 (Americas),Yes,No,B
Workplace Safety - Team 7.0 Solution,Yes,No,B
Workplace Safety - Team 7.1 (Americas),Yes,No,"B, C, P"
Workplace Safety - Team 7.1 (International),Yes,No,"B, C, P"
Workplace Safety Solution,Yes,Yes,"B, P"
